No. ; Fila ; Columna ; Caracter ;Descripcion
193;nombre;49;6;Token_ID;
194;<;49;26;Token_cierre;
195;EstacionZona5;49;13;Token_estacion;
196;/;49;27;Token_Barra;
197;>;49;34;Token_cierre;
198;nombre;49;28;Token_ID;
199;<;50;1;Token_apertura;
200;/;50;2;Token_Barra;
201;>;50;11;Token_cierre;
202;estacion;50;3;Token_ID;
203;<;52;1;Token_apertura;
204;>;52;6;Token_cierre;
205;ruta;52;2;Token_ID;
206;<;53;5;Token_apertura;
207;>;53;12;Token_cierre;
208;nombre;53;6;Token_ID;
209;<;55;5;Token_cierre;
210;ruta2;55;0;Token_ruta;
211;/;55;6;Token_Barra;
212;>;55;13;Token_cierre;
213;nombre;55;7;Token_ID;
214;<;56;5;Token_apertura;
215;>;56;10;Token_cierre;
216;peso;56;6;Token_ID;
217;5;56;11;Token_peso;
218;<;56;12;Token_cierre;
219;/;56;13;Token_Barra;
220;>;56;18;Token_cierre;
221;peso;56;14;Token_ID;
222;<;57;5;Token_apertura;
223;>;57;12;Token_cierre;
224;inicio;57;6;Token_ID;
225;<;59;5;Token_cierre;
226;estacionzona6;59;-8;Token_ruta;
227;/;59;6;Token_Barra;
228;>;59;13;Token_cierre;
229;inicio;59;7;Token_ID;
230;<;60;5;Token_apertura;
231;>;60;9;Token_cierre;
232;fin;60;6;Token_ID;
233;<;62;5;Token_cierre;
234;EstacionZona1;62;-8;Token_ruta;
235;/;62;6;Token_Barra;
236;>;62;10;Token_cierre;
237;fin;62;7;Token_ID;
238;<;63;1;Token_apertura;
239;/;63;2;Token_Barra;
240;>;63;7;Token_cierre;
241;ruta;63;3;Token_ID;
242;<;64;1;Token_apertura;
243;>;64;6;Token_cierre;
244;ruta;64;2;Token_ID;
245;<;65;5;Token_apertura;
246;>;65;12;Token_cierre;
247;nombre;65;6;Token_ID;
248;<;67;5;Token_cierre;
249;rutaExpress;67;-6;Token_ruta;
250;/;67;6;Token_Barra;
251;>;67;13;Token_cierre;
252;nombre;67;7;Token_ID;
253;<;68;5;Token_apertura;
254;>;68;10;Token_cierre;
255;peso;68;6;Token_ID;
256;0.7;68;11;Token_peso;
257;<;68;14;Token_cierre;
258;/;68;15;Token_Barra;
259;>;68;20;Token_cierre;
260;peso;68;16;Token_ID;
261;<;69;5;Token_apertura;
262;>;69;12;Token_cierre;
263;inicio;69;6;Token_ID;
264;<;71;5;Token_cierre;
265;estacionzona2;71;-8;Token_ruta;
266;/;71;6;Token_Barra;
267;>;71;13;Token_cierre;
268;inicio;71;7;Token_ID;
269;<;72;5;Token_apertura;
270;>;72;9;Token_cierre;
271;fin;72;6;Token_ID;
272;<;74;5;Token_cierre;
273;estacionzona1;74;-8;Token_ruta;
274;/;74;6;Token_Barra;
275;>;74;10;Token_cierre;
276;fin;74;7;Token_ID;
